日期,讲员,讲题,视频, PPT, 海报
2024-1-27,煌盈,祷告,https://1drv.ms/v/s!Aiz8CX_Ef03hgucMIZ8vj8dMLOXZ6Q?e=ZQznfH,t,https://1drv.ms/i/s!Aiz8CX_Ef03hgucOGHbQkTMukU9hWg?e=HWopD6
2024-1-20,晓萍,恩典的性质,https://1drv.ms/v/s!Aiz8CX_Ef03hgucIoz3Xv9dBxFk5KA?e=fo04OQ,t,https://1drv.ms/i/s!Aiz8CX_Ef03hgucOGHbQkTMukU9hWg?e=HWopD6
2024-1-13,黔红,深处与深处响应,https://1drv.ms/v/s!Aiz8CX_Ef03hgucLf4jkdR5MsGxkLA?e=F0s74b,t,https://1drv.ms/i/s!Aiz8CX_Ef03hgucOGHbQkTMukU9hWg?e=HWopD6
2024-1-6,杨洁,大卫与米非波设,https://1drv.ms/v/s!Aiz8CX_Ef03hgucKoQwCRsFfIDSW0g?e=v08nkL,t,https://1drv.ms/i/s!Aiz8CX_Ef03hgucOGHbQkTMukU9hWg?e=HWopD6
2023-2-25,婉珍,祷告团契,https://1drv.ms/v/s!Aiq0BiKT8yT3h_oXWJ1Suo84Fz1oGw?e=K4yQtd,t,202302姐妹学校.jpg
2023-2-18,黔红,信心系列-信心的行为,https://1drv.ms/v/s!Aiq0BiKT8yT3h_oSLcaihzGzOOmGMg?e=RKUzMz,t,202302姐妹学校.jpg
2023-2-11,航宇,信心系列-信心的根源,https://1drv.ms/v/s!Aiq0BiKT8yT3h_oW_SY3TSR4fQSTxA?e=9kCJRJ,t,202302姐妹学校.jpg
2023-1-14,敏慧,新年祷告会,https://1drv.ms/v/s!Aiq0BiKT8yT3h_oRBg6a4LwNUGa_sQ?e=7rKYDw,t,t
2023-1-6,婉珍,t,https://1drv.ms/v/s!Aiq0BiKT8yT3h_oVP35-hDEbohwlEg?e=GVLzVs,t,t
2021-7-17,蒋珍&婉珍,如何应对孩子的拖延症,https://1drv.ms/v/s!Aiq0BiKT8yT3h_ofJfgV65PPGuFuLg?e=JfBSAa,t,202107-周六课程.png
